date,province,quantile_01.0,quantile_02.5,quantile_25.0,median,quantile_75.0,quantile_97.5,quantile_99.0,mean
2019-12-24,Xinjiang,1,1,1,1,1,2,2,1.1764705882352942
2019-12-24,Yunnan,1,1,1,1,2,3,3,1.3478260869565217
2019-12-24,Zhejiang,1,1.4500000000000002,4,6,8,13.549999999999997,15.039999999999992,6.242424242424242
2019-12-25,Anhui,1,1,2.75,4,6,9.524999999999991,13.010000000000005,4.37
2019-12-25,Beijing,1,1,2,3.5,4,8.625,10,3.4895833333333335
2019-12-25,Chongqing,1,2,4,5,7,10,10.030000000000015,5.32
2019-12-25,Fujian,1,1,1,1.5,2,4.0249999999999915,5,1.775
2019-12-25,Gansu,1,1,1,1,2,3,3,1.4333333333333333
2019-12-25,Guangdong,2.9899999999999998,3,6,8,11,17,18.030000000000015,8.59
2019-12-25,Guangxi,1,1,1,2,3,5,5.109999999999999,2.3222222222222224
2019-12-25,Guizhou,1,1,1,1,1,2,2,1.1304347826086956
2019-12-25,Hainan,1,1,1,1,2,5,5.329999999999998,1.7058823529411764
2019-12-25,Hebei,1,1,1,1,2,4,4.420000000000002,1.5932203389830508
2019-12-25,Heilongjiang,1,1,1,1,2,3.8999999999999915,6.52000000000001,1.746031746031746
2019-12-25,Henan,1.99,2,4,6,8,13.524999999999991,15.100000000000051,6.52
2019-12-25,Hong Kong,1,1,1,1,1,1.625,1.8499999999999996,1.0625
2019-12-25,Hubei,65.99000000000001,68.475,83,93,114.5,220.27499999999975,269.37000000000023,104.63
2019-12-25,Hunan,1,1.4250000000000003,3,5,6.75,12.150000000000006,14.060000000000002,5.285714285714286
2019-12-25,Inner Mongolia,1,1,1,1,1,2,2,1.2
2019-12-25,Jiangsu,1,1,1,2,3,6,6.8500000000000085,2.5238095238095237
2019-12-25,Jiangxi,1,1,2,2,4,8.75,10.199999999999989,3.120879120879121
2019-12-25,Jilin,1,1,1,1,1,2,2,1.1304347826086956
2019-12-25,Liaoning,1,1,1,2,2,3.7250000000000014,4.490000000000002,1.8076923076923077
2019-12-25,Ningxia,1,1,1,1,1,2.5500000000000007,2.8200000000000003,1.2105263157894737
2019-12-25,Qinghai,1,1,1,1,1,1,1,1
2019-12-25,Shaanxi,1,1,1,1,2,3.674999999999997,4.469999999999999,1.6111111111111112
2019-12-25,Shandong,1,1,1.5,2,3.5,7,7.69999999999996,2.8351648351648353
2019-12-25,Shanghai,1,1,1.75,2,4,7,8.389999999999986,2.965909090909091
2019-12-25,Shanxi,1,1,1,1,2,3,3,1.475
2019-12-25,Sichuan,1,1,2,3,4,6.6499999999999915,7.060000000000002,3
2019-12-25,Taiwan,1,1,1,1,1,1,1,1
